Site,Species,Season,Week_1,Week_2,Week_3,Week_4,Week_5
AG-CH,bobcat,22_4,0,0,1,0,1
AG-CH,CA_ground_squirrel,22_4,0,0,0,1,1
AG-CH,coyote,22_4,0,0,0,0,0
AG-CH,gray_fox,22_4,1,0,0,0,0
AG-CH,mountain_lion,22_4,0,1,0,0,0
AG-CH,mule_deer,22_4,0,0,0,0,0
AG-CH,rabbit_sp,22_4,0,0,0,1,1
AG-CH,raccoon,22_4,0,0,0,0,0
AG-CH,striped_skunk,22_4,1,1,1,1,1
AG-CH,virginia_opossum,22_4,0,0,0,0,0
AU-TR,bobcat,22_4,0,0,0,0,0
AU-TR,CA_ground_squirrel,22_4,1,0,0,0,0
AU-TR,coyote,22_4,0,0,0,1,1
AU-TR,gray_fox,22_4,0,0,0,1,0
AU-TR,mountain_lion,22_4,0,0,0,0,0
AU-TR,mule_deer,22_4,1,0,0,0,0
AU-TR,rabbit_sp,22_4,0,0,0,0,0
AU-TR,raccoon,22_4,0,0,0,0,0
AU-TR,striped_skunk,22_4,0,0,0,0,0
AU-TR,virginia_opossum,22_4,0,0,0,0,0
BO-SP,bobcat,22_4,0,0,0,0,0
BO-SP,CA_ground_squirrel,22_4,0,0,0,0,0
BO-SP,coyote,22_4,0,0,0,0,0
BO-SP,gray_fox,22_4,0,0,0,0,0
BO-SP,mountain_lion,22_4,0,0,0,1,0
BO-SP,mule_deer,22_4,0,0,0,0,0
BO-SP,rabbit_sp,22_4,0,0,0,0,0
BO-SP,raccoon,22_4,0,0,0,0,0
BO-SP,striped_skunk,22_4,0,0,0,0,0
BO-SP,virginia_opossum,22_4,0,0,0,0,0
BO-TR,bobcat,22_4,0,1,0,0,0
BO-TR,CA_ground_squirrel,22_4,0,0,0,0,0
BO-TR,coyote,22_4,0,0,0,0,0
BO-TR,gray_fox,22_4,0,0,0,0,0
BO-TR,mountain_lion,22_4,1,0,0,1,0
BO-TR,mule_deer,22_4,0,0,0,0,0
BO-TR,rabbit_sp,22_4,0,0,0,0,0
BO-TR,raccoon,22_4,0,0,0,0,0
BO-TR,striped_skunk,22_4,0,0,0,0,0
BO-TR,virginia_opossum,22_4,0,0,0,0,0
CG-001,bobcat,22_4,NA,NA,NA,NA,NA
CG-001,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-001,coyote,22_4,NA,NA,NA,NA,NA
CG-001,gray_fox,22_4,NA,NA,NA,NA,NA
CG-001,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-001,mule_deer,22_4,NA,NA,NA,NA,NA
CG-001,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-001,raccoon,22_4,NA,NA,NA,NA,NA
CG-001,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-001,virginia_opossum,22_4,NA,NA,NA,NA,NA
CG-002,bobcat,22_4,NA,NA,NA,NA,NA
CG-002,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-002,coyote,22_4,NA,NA,NA,NA,NA
CG-002,gray_fox,22_4,NA,NA,NA,NA,NA
CG-002,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-002,mule_deer,22_4,NA,NA,NA,NA,NA
CG-002,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-002,raccoon,22_4,NA,NA,NA,NA,NA
CG-002,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-002,virginia_opossum,22_4,NA,NA,NA,NA,NA
CG-003,bobcat,22_4,NA,NA,NA,NA,NA
CG-003,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-003,coyote,22_4,NA,NA,NA,NA,NA
CG-003,gray_fox,22_4,NA,NA,NA,NA,NA
CG-003,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-003,mule_deer,22_4,NA,NA,NA,NA,NA
CG-003,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-003,raccoon,22_4,NA,NA,NA,NA,NA
CG-003,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-003,virginia_opossum,22_4,NA,NA,NA,NA,NA
CG-004,bobcat,22_4,NA,NA,NA,NA,NA
CG-004,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-004,coyote,22_4,NA,NA,NA,NA,NA
CG-004,gray_fox,22_4,NA,NA,NA,NA,NA
CG-004,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-004,mule_deer,22_4,NA,NA,NA,NA,NA
CG-004,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-004,raccoon,22_4,NA,NA,NA,NA,NA
CG-004,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-004,virginia_opossum,22_4,NA,NA,NA,NA,NA
CG-005,bobcat,22_4,NA,NA,NA,NA,NA
CG-005,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-005,coyote,22_4,NA,NA,NA,NA,NA
CG-005,gray_fox,22_4,NA,NA,NA,NA,NA
CG-005,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-005,mule_deer,22_4,NA,NA,NA,NA,NA
CG-005,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-005,raccoon,22_4,NA,NA,NA,NA,NA
CG-005,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-005,virginia_opossum,22_4,NA,NA,NA,NA,NA
CG-006,bobcat,22_4,NA,NA,NA,NA,NA
CG-006,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-006,coyote,22_4,NA,NA,NA,NA,NA
CG-006,gray_fox,22_4,NA,NA,NA,NA,NA
CG-006,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-006,mule_deer,22_4,NA,NA,NA,NA,NA
CG-006,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-006,raccoon,22_4,NA,NA,NA,NA,NA
CG-006,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-006,virginia_opossum,22_4,NA,NA,NA,NA,NA
CG-016,bobcat,22_4,NA,NA,NA,NA,NA
CG-016,CA_ground_squirrel,22_4,NA,NA,NA,NA,NA
CG-016,coyote,22_4,NA,NA,NA,NA,NA
CG-016,gray_fox,22_4,NA,NA,NA,NA,NA
CG-016,mountain_lion,22_4,NA,NA,NA,NA,NA
CG-016,mule_deer,22_4,NA,NA,NA,NA,NA
CG-016,rabbit_sp,22_4,NA,NA,NA,NA,NA
CG-016,raccoon,22_4,NA,NA,NA,NA,NA
CG-016,striped_skunk,22_4,NA,NA,NA,NA,NA
CG-016,virginia_opossum,22_4,NA,NA,NA,NA,NA
