site,county,fire_name,burn_status,onroad,dist_perim,dist_perimQuad,imperv_500,rdnbr_abs,rdnbrQuad,rdnbr_het
AG-CH,Orange,SIL,burned,0,-1.51,2.28,0,1385.28,1919000.678,1028.93
AU-TR,Orange,BOND,burned,1,-0.87,0.76,2.47,1166.22,1360069.088,1053
BO-SP,Orange,SIL,burned,0,-1.68,2.82,0,1799.49,3238164.26,1706.99
BO-TR,Orange,SIL,burned,1,-1.22,1.49,0.14,1301.73,1694500.993,1326.11
CG-001,Santa_Cruz,CZU,unburned,1,4.9,24.01,3.11,-11.56,133.6336,79.79
CG-002,Santa_Cruz,CZU,unburned,1,4.6,21.16,0,-11.56,133.6336,79.79
CG-003,Santa_Cruz,CZU,unburned,1,0.9,0.81,0.37,-94.03,8841.6409,384.77
CG-004,Santa_Cruz,CZU,unburned,0,1.74,3.03,0,-0.32,0.1024,29.2
CG-005,Santa_Cruz,CZU,unburned,0,1.51,2.28,0,-18.48,341.5104,58.39
CG-006,Santa_Cruz,CZU,unburned,0,3.81,14.52,1.08,-29.13,848.5569,36.99
CG-016,Santa_Cruz,CZU,burned,1,-0.97,0.94,0.1,304.54,92744.6116,276.82
CG-017,Santa_Cruz,CZU,unburned,1,0.45,0.2,0.96,-68.36,4673.0896,139.59
CG-018,Santa_Cruz,CZU,burned,0,-0.06,0,0.16,55.6,3091.36,81.45
CG-019,Santa_Cruz,CZU,unburned,0,3.29,10.82,6.8,-16.59,275.2281,59.64
CG-020,Santa_Cruz,CZU,unburned,0,7.38,54.46,0.57,-11.56,133.6336,79.79
CG-029,Santa_Cruz,CZU,burned,0,-3.54,12.53,0,422.27,178311.9529,307.22
CG-030,Santa_Cruz,CZU,burned,0,-0.75,0.56,0.19,297.15,88298.1225,203.71
CG-031,Santa_Cruz,CZU,unburned,0,0.79,0.62,1.16,-1.24,1.5376,49.7
CG-033,Santa_Cruz,CZU,unburned,0,8.35,69.72,0.93,-11.56,133.6336,79.79
CG-042,Santa_Cruz,CZU,burned,1,-1.2,1.44,0,878.35,771498.7225,160.13
CG-044,Santa_Cruz,CZU,burned,1,-3.8,14.44,1.29,708.76,502340.7376,197.73
CG-045,Santa_Cruz,CZU,burned,0,-0.59,0.35,0.27,246.87,60944.7969,199.68
CG-047,Santa_Cruz,CZU,unburned,1,5.44,29.59,0.12,-11.56,133.6336,79.79
