site,season,burned,tsf,ndvi_abs,ndvi_het
AG-CH,15_1,prefire,-10,0.219,0.0173
AU-TR,15_1,prefire,-10,0.242,0.0278
BO-SP,15_1,prefire,-10,0.226,0.0232
BO-TR,15_1,prefire,-10,0.22,0.0249
CG-001,15_1,prefire,-22,0.254,0.0655
CG-002,15_1,prefire,-22,0.265,0.0318
CG-003,15_1,prefire,-22,0.272,0.0413
CG-004,15_1,prefire,-22,0.264,0.0317
CG-005,15_1,prefire,-22,0.263,0.0372
CG-006,15_1,prefire,-22,0.246,0.0363
CG-016,15_1,prefire,-22,0.292,0.0441
CG-017,15_1,prefire,-22,0.219,0.0452
CG-018,15_1,prefire,-22,0.26,0.0388
CG-019,15_1,prefire,-22,0.232,0.0319
CG-020,15_1,prefire,-22,0.276,0.0386
CG-029,15_1,prefire,-22,0.3,0.0488
CG-030,15_1,prefire,-22,0.306,0.0365
CG-031,15_1,prefire,-22,0.28,0.0413
CG-033,15_1,prefire,-22,0.289,0.0398
CG-042,15_1,prefire,-22,0.277,0.0397
CG-044,15_1,prefire,-22,0.308,0.0398
CG-045,15_1,prefire,-22,0.287,0.0452
CG-047,15_1,prefire,-22,0.264,0.0437
CG-048,15_1,prefire,-22,0.293,0.0274
CG-056,15_1,prefire,-22,0.273,0.0479
CG-057,15_1,prefire,-22,0.293,0.0451
CG-058,15_1,prefire,-22,0.289,0.061
CG-059,15_1,prefire,-22,0.332,0.0281
CG-069,15_1,prefire,-22,0.321,0.0433
CG-070,15_1,prefire,-22,0.285,0.0362
CG-071,15_1,prefire,-22,0.298,0.0344
CG-073,15_1,prefire,-22,0.289,0.0365
CG-074,15_1,prefire,-22,0.229,0.0486
CG-075,15_1,prefire,-22,0.281,0.0322
CG-084,15_1,prefire,-22,0.313,0.0353
CG-085,15_1,prefire,-22,0.289,0.032
CG-088,15_1,prefire,-22,0.29,0.044
CG-089,15_1,prefire,-22,0.27,0.029
CG-090,15_1,prefire,-22,0.269,0.0405
CG-092,15_1,prefire,-22,0.278,0.0311
CG-096,15_1,prefire,-22,0.261,0.0269
CG-097,15_1,prefire,-22,0.299,0.0381
CG-098,15_1,prefire,-22,0.258,0.0334
CG-102,15_1,prefire,-22,0.301,0.0407
CG-103,15_1,prefire,-22,0.253,0.0345
CO-TR,15_1,prefire,-10,0.273,0.0353
DO-CA3,15_1,prefire,-10,0.21,0.0207
DR-SP2,15_1,prefire,-10,0.231,0.0246
EA-MW2,15_1,prefire,-10,0.185,0.039
FR-RO,15_1,prefire,-10,0.218,0.0306
GY-FO,15_1,prefire,-10,0.207,0.0164
IR-ME1,15_1,prefire,-10,0.207,0.0175
IRC01,15_1,prefire,-10,0.253,0.0645
IRC02,15_1,prefire,-10,0.255,0.0347
IRC03,15_1,prefire,-10,0.236,0.0261
IRC04,15_1,prefire,-10,0.209,0.0298
IRC05,15_1,prefire,-10,0.199,0.0225
IRC06,15_1,prefire,-10,0.199,0.0249
IRC07,15_1,prefire,-10,0.202,0.0236
IRC09,15_1,prefire,-10,0.222,0.0317
IRC10,15_1,prefire,-10,0.244,0.0303
IRC12,15_1,prefire,-10,0.208,0.026
IRC13,15_1,prefire,-10,0.21,0.0215
LI-ME2,15_1,prefire,-10,0.218,0.0146
LO-WE2,15_1,prefire,-10,0.219,0.0213
MO-FR1,15_1,prefire,-10,0.22,0.0256
OR-LO,15_1,prefire,-10,0.233,0.0483
OV-TR,15_1,prefire,-10,0.206,0.0362
